FULL_NAME,BIRTH_DATE,COUNTRY,INVESTED_VALUE,ENTRY_DATE
LIAM SMITH,1985-05-12,UNITED STATES,15000.00,2024-01-10
NOAH GARCIA,1992-08-24,BRAZIL,8500.00,2024-01-12
OLIVER MARTINS,1978-03-15,PORTUGAL,22000.00,2024-01-15
ELIJAH ROSSI,1988-11-30,ITALY,12000.00,2024-01-18
JAMES SCHMIDT,1995-01-05,GERMANY,35000.00,2024-01-20
WILLIAM SILVA,1980-07-22,BRAZIL,5000.00,2024-01-22
BENJAMIN PEREIRA,1983-04-10,PORTUGAL,18500.00,2024-01-25
LUCAS JONES,1990-12-14,UNITED STATES,45000.00,2024-01-28
HENRY MULLER,1975-09-08,GERMANY,12500.00,2024-02-01
ALEXANDER FERRARI,1982-06-19,ITALY,9000.00,2024-02-03
MIA OLIVEIRA,1998-02-27,BRAZIL,11000.00,2024-02-05
ETHAN BROWN,1987-10-11,UNITED STATES,27500.00,2024-02-07
DANIEL COSTA,1991-03-22,PORTUGAL,14000.00,2024-02-10
MATTHEW WEBER,1984-05-30,GERMANY,8000.00,2024-02-12
SAMUEL RICCI,1979-08-14,ITALY,31000.00,2024-02-15
SEBASTIAN SANTOS,1993-11-02,BRAZIL,6500.00,2024-02-18
JACKSON MILLER,1986-01-25,UNITED STATES,55000.00,2024-02-20
LEVI ALMEIDA,1989-04-07,PORTUGAL,19000.00,2024-02-22
DAVID FISCHER,1981-07-16,GERMANY,21000.00,2024-02-25
JOSEPH ROMANO,1977-10-29,ITALY,13500.00,2024-02-27
CARTER SOUZA,1996-03-12,BRAZIL,4200.00,2024-03-01
OWEN WILSON,1988-06-25,UNITED STATES,33000.00,2024-03-03
WYATT FERREIRA,1982-09-08,PORTUGAL,15500.00,2024-03-05
JAYDEN MEYER,1994-12-21,GERMANY,26000.00,2024-03-07
GABRIEL MARINO,1985-02-14,ITALY,17500.00,2024-03-10
JULIAN LIMA,1990-05-27,BRAZIL,9800.00,2024-03-12
MATEO TAYLOR,1983-08-10,UNITED STATES,41000.00,2024-03-15
ANTHONY GOMES,1976-11-23,PORTUGAL,28000.00,2024-03-18
ISAAC WAGNER,1989-01-05,GERMANY,12000.00,2024-03-20
DYLAN BRUNO,1992-04-18,ITALY,7500.00,2024-03-22
LEO RIBEIRO,1987-07-01,BRAZIL,52000.00,2024-03-25
JOSIAH ANDERSON,1984-10-14,UNITED STATES,18000.00,2024-03-28
CHARLES ROCHA,1981-02-27,PORTUGAL,24500.00,2024-03-30
THOMAS SCHULZ,1995-06-12,GERMANY,39000.00,2024-03-01
CALEB MORETTI,1986-09-25,ITALY,11500.00,2024-03-02
RYAN BARBOSA,1991-12-08,BRAZIL,3000.00,2024-03-04
NATHAN WHITE,1978-03-21,UNITED STATES,62000.00,2024-03-06
ADRIAN CARVALHO,1983-06-03,PORTUGAL,13000.00,2024-03-08
CHRISTIAN HOFFMANN,1980-09-16,GERMANY,47000.00,2024-03-10
MAVERICK COCO,1993-12-29,ITALY,5500.00,2024-03-12
COLTON MACHADO,1988-04-11,BRAZIL,29000.00,2024-03-14
ELIAS HARRIS,1982-07-24,UNITED STATES,20500.00,2024-03-16
AARON CARDOSO,1989-10-07,PORTUGAL,16500.00,2024-03-18
AXEL KOCH,1977-01-20,GERMANY,53000.00,2024-03-20
SANTIAGO GRECO,1996-04-02,ITALY,9500.00,2024-03-22
CONNOR TEIXEIRA,1984-07-15,BRAZIL,32000.00,2024-03-24
NOLAN MARTIN,1991-10-28,UNITED STATES,14500.00,2024-03-26
LUCA PINTO,1985-02-10,PORTUGAL,40000.00,2024-03-28
HUNTER BAUER,1979-05-23,GERMANY,25000.00,2024-03-30
IAN DE LUCA,1992-08-05,ITALY,18500.00,2024-03-31
ADAM CAVALCANTE,1986-11-18,BRAZIL,7800.00,2024-01-05
NICO MOREIRA,1983-02-01,PORTUGAL,12500.00,2024-01-07
DOMINIC WALKER,1980-05-14,UNITED STATES,36000.00,2024-01-09
ERIK RICHTER,1995-08-27,GERMANY,29500.00,2024-01-11
MARCO GALLO,1988-12-10,ITALY,15000.00,2024-01-13
JONAS MENDES,1982-03-25,BRAZIL,23000.00,2024-01-15
THEO YOUNG,1989-06-08,UNITED STATES,48000.00,2024-01-17
HUGO FREITAS,1977-09-21,PORTUGAL,10500.00,2024-01-19
KEVIN ZIMMERMANN,1994-01-04,GERMANY,51000.00,2024-01-21
SILAS BLACK,1981-11-11,UNITED STATES,19200.00,2024-04-01
BEATRIZ NUNES,1993-05-19,BRAZIL,14300.00,2024-04-02
TIAGO LOPES,1986-02-28,PORTUGAL,31000.00,2024-04-03
GIOVANNA RIZZO,1990-07-07,ITALY,21500.00,2024-04-04
HANS WOLF,1982-12-12,GERMANY,44000.00,2024-04-05
RODRIGO ALVES,1995-03-14,BRAZIL,9200.00,2024-04-06
MARTA CABRAL,1984-06-21,PORTUGAL,17800.00,2024-04-07
JOSHUA DAVIS,1979-09-30,UNITED STATES,56000.00,2024-04-08
ELENA BIANCHI,1988-01-15,ITALY,10200.00,2024-04-09
STEFAN KRUGER,1991-04-22,GERMANY,33500.00,2024-04-10
CAMILA DUARTE,1997-10-10,BRAZIL,12100.00,2024-04-11
RICARDO NEVES,1983-08-05,PORTUGAL,25600.00,2024-04-12
RYAN CLARK,1980-02-20,UNITED STATES,42300.00,2024-04-13
SOFIA CONTE,1994-11-18,ITALY,15900.00,2024-04-14
LUKAS NEUMANN,1985-05-05,GERMANY,28700.00,2024-04-15
FABIO VIANA,1992-09-29,BRAZIL,6700.00,2024-04-16
CATARINA REIS,1987-12-03,PORTUGAL,38400.00,2024-04-17
TYLER LEWIS,1976-03-11,UNITED STATES,61200.00,2024-04-18
VALERIA RUSSO,1981-06-27,ITALY,11800.00,2024-04-19
JURGEN BRAUN,1989-01-24,GERMANY,49200.00,2024-04-20
GUSTAVO BRAGA,1996-07-13,BRAZIL,8400.00,2024-04-21
ANA RITA,1984-04-04,PORTUGAL,22300.00,2024-04-22
BRANDON HILL,1980-12-25,UNITED STATES,35100.00,2024-04-23
PAOLA ROMANO,1993-02-09,ITALY,14600.00,2024-04-24
OTTO SCHNEIDER,1978-08-16,GERMANY,55200.00,2024-04-25
MURILO REZENDE,1991-05-30,BRAZIL,13200.00,2024-04-26
HELENA MAGALHAES,1986-11-21,PORTUGAL,29100.00,2024-04-27
JUSTIN BAKER,1982-10-02,UNITED STATES,47800.00,2024-04-28
CHIARA LUCIANO,1995-01-19,ITALY,9300.00,2024-04-29
KARL HARTMANN,1983-09-08,GERMANY,41500.00,2024-04-30
DOUGLAS LIMA,1990-03-12,BRAZIL,18900.00,2024-05-01
PATRICIA GOMES,1987-07-25,PORTUGAL,14700.00,2024-05-02
SEAN ADAMS,1975-12-01,UNITED STATES,68000.00,2024-05-03
ALESSANDRA COSTA,1989-04-14,ITALY,20400.00,2024-05-04
HELMUT LANG,1981-10-29,GERMANY,36700.00,2024-05-05
IGOR BATISTA,1994-06-17,BRAZIL,11400.00,2024-05-06
INÊS SOUSA,1982-01-30,PORTUGAL,32600.00,2024-05-07
LUKE EVANS,1990-08-11,UNITED STATES,51200.00,2024-05-08
ELISA FONTANA,1986-05-26,ITALY,13800.00,2024-05-09
FRANZ WAGNER,1977-03-03,GERMANY,45900.00,2024-05-10
CAIO FERRAZ,1993-11-15,BRAZIL,7900.00,2024-05-11
